ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
1,Callaeas cinerea,Kokako|South Island Kokako|South Island Kokako|Kokako,Callaeas cinerea|Callaeas|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
2,Hirundapus,,Hirundapus|Chaeturini|Apodinae|Apodidae|Apodi|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
3,Leucocarbo colensoi,Auckland Island Shag|Auckland Island Shag|Auckland Island Shag,Leucocarbo colensoi|Leucocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
4,Vanellus miles,Spur-winged Plover|Masked Plover|Spur-winged plover|Masked Plover,Vanellus miles|Vanellus|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
5,Thalasseus,,Thalasseus|Sternidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
6,Anthus novaeseelandiae,New Zealand Pipit|New Zealand Pipit|Richard's Pipit|Australian Pipit|New Zealand Pipit|Australian Pipit|Richard's Pipit,Anthus novaeseelandiae|Anthus|Motacillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
7,Callaeas,,Callaeas|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
8,Rallus pectoralis muelleri,Auckland Island Rail|Auckland Island Rail,Rallus pectoralis muelleri|Rallus pectoralis|Rallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
9,Emeidae,Moas|Moas,Emeidae|Dinornithiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
10,Puffinus puffinus puffinus,Manx Shearwater,Puffinus puffinus puffinus|Puffinus puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
11,Phalaropus fulicarius,Red Phalarope|Grey (Red) Phalarope,Phalaropus fulicarius|Phalaropus|Phalaropodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
12,Porzana,,Porzana|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
13,Cereopsini,,Cereopsini|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
14,Philesturnus carunculatus rufusater,Tieke|North Island Saddleback|North Island Saddleback|Tieke,Philesturnus carunculatus rufusater|Philesturnus carunculatus|Philesturnus|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
15,Fringilla,,Fringilla|Fringillinae|Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
16,Calonectris borealis,North Atlantic Shearwater|Cory's Shearwater|North Atlantic (Cory's) Shearwater,Calonectris borealis|Calonectris|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
17,Coenocorypha aucklandica aucklandica,Auckland Island Snipe|Auckland Island Snipe,Coenocorypha aucklandica aucklandica|Coenocorypha aucklandica|Coenocorypha|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
18,Microcarbo melanoleucos,,Microcarbo melanoleucos|Microcarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
19,Euryanas finschi,,Euryanas finschi|Euryanas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
20,Platydyptes amiesi,,Platydyptes amiesi|Platydyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
21,Gallinula chloropus,Common Moorhen|Common Moorhen,Gallinula chloropus|Gallinula|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
22,Pterodroma solandri,Providence Petrel|Providence Petrel|Providence Petrel,Pterodroma solandri|Pterodroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
23,Limnodromus,,Limnodromus|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
24,Anas aucklandica aucklandica,Flightless Duck|Auckland Island Teal|Auckland Island Teal|Flightless Duck,Anas aucklandica aucklandica|Anas aucklandica|Anas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
